ID,GAME,YEAR,DEVELOPER,PUBLISHER,GENRE
304,Sin & Punishment,2000,Treasure,Nintendo,Action | 3D Rail Shooter
2,Aero Fighters Assault,1997,Paradigm Entertainment,Video System,Simulation | Flight Combat
3,AeroGauge,1997,Pacific Coast Power & Light,ASCII Entertainment,Racing | Automobile
4,Aidyn Chronicles: The First Mage,2001,H2O Interactive,THQ,Adventure | Role Playing
6,All-Star Baseball 99,1998,Iguana Entertainment,Acclaim Sports,Sports | Baseball
7,All-Star Baseball 2000,1999,Iguana Entertainment,Acclaim Sports,Sports | Baseball
8,All-Star Baseball 2001,2000,High Voltage Software,Acclaim Sports,Sports | Baseball
9,All Star Tennis '99,1999,Smart Dog,Ubisoft,Sports | Tennis
10,Armorines: Project S.W.A.R.M.,1999,Acclaim Studios London,Acclaim Entertainment,Action | First-Person Shooter
11,Army Men: Air Combat,2000,The 3DO Company,The 3DO Company,Action | Adventure | 3D Shooter
12,Army Men: Sarge's Heroes,1999,The 3DO Company,The 3DO Company,Action | Adventure | 3D Shooter
13,Army Men: Sarge's Heroes 2,2000,The 3DO Company,The 3DO Company,Action | Adventure | 3D Shooter
14,Asteroids Hyper 64,1999,Syrox Developments,Crave Entertainment,Arcade | Action | Shooter
15,Automobili Lamborghini,1997,Titus Software,Titus SoftwareTaito,Racing | Automobile
16,Banjo-Kazooie,1998,Rare,Nintendo,Adventure | 3D Platformer
17,Banjo-Tooie,2000,Rare,Nintendo,Adventure | 3D Platformer
18,Bass Hunter 64,1999,Gear Head Entertainment,Take-Two Interactive,Sports | Fishing
19,Bass Masters 2000,1999,Mass Media,THQ,Sports | Fishing
20,Batman Beyond: Return of the Joker,2000,Kemco,Ubisoft,Action | Adventure
21,BattleTanx,1998,The 3DO Company,The 3DO Company,Simulation | Tank Combat
22,BattleTanx: Global Assault,1999,The 3DO Company,The 3DO Company,Simulation | Tank Combat
23,Battlezone: Rise of the Black Dogs,2000,Climax Group,Crave Entertainment,Simulation | Tank Combat
24,Beetle Adventure Racing!,1999,Paradigm Entertainment,Electronic Arts,Racing | Automobile | Adventure
25,Big Mountain 2000,1998,Eutechnyx,SouthPeak Games,Racing
26,Bio F.R.E.A.K.S.,1998,Saffire Corporation,Midway,Arcade | Fighting
27,Blast Corps,1997,Rare,Nintendo,Strategy | Demolition
28,Blues Brothers 2000,2000,Player 1,Titus Software,Adventure | 3D Platformer
29,Body Harvest,1998,DMA Design,Midway,Action | Adventure | 3D shooter
30,Bomberman 64,1997,Hudson Soft,Nintendo,Adventure | Puzzle
31,Bomberman 64: The Second Attack,1999,Hudson Soft,Vatical Entertainment,Action | Adventure
32,Bomberman Hero,1998,Hudson Soft,Nintendo,Action | Adventure | 3D Platformer
33,Bottom of the 9th,1999,Konami,Konami,Sports | Baseball
34,Brunswick Circuit Pro Bowling,1999,Point of View,THQ,Sports | Bowling
35,Buck Bumble,1998,Argonaut Software,Ubi Soft,Action | Adventure | Shooter
36,A Bug's Life,1999,Traveller's Tales,Activision,Adventure | 3D Platformer
37,Bust-A-Move '99,1999,Distinctive Developments,Acclaim Entertainment,Arcade | Action | Puzzle
38,Bust-A-Move 2: Arcade Edition,1998,Probe Entertainment,Acclaim Entertainment,Arcade | Action | Puzzle
39,California Speed,1999,Midway,Midway,Racing | Automobile
40,Carmageddon 64,2000,Software Creations,Titus Software (NA)Sales Curve Interactive (EU),Racing | Battle
41,Castlevania,1999,Konami,Konami,Adventure | 3D Platformer
42,Castlevania: Legacy of Darkness,1999,Konami,Konami,Adventure | 3D Platformer
44,Chameleon Twist,1997,Japan System Supply,Sunsoft,Adventure | 3D Platformer
45,Chameleon Twist 2,1999,Japan System Supply,Sunsoft,Adventure | 3D Platformer
46,Charlie Blast's Territory,1999,Realtime Associates,Kemco,Strategy | Puzzle
47,Chopper Attack,1998,SETA,MidwaySETA,Simulation | Helicopter | Shooter
48,ClayFighter 63⅓,1997,Interplay Productions,Interplay Productions,Arcade | Fighting
49,ClayFighter Sculptor's Cut,1998,Interplay Productions,Interplay Productions,Arcade | Fighting
50,Command & Conquer,1999,Westwood Studios,Nintendo,Strategy | Real-time
51,Conker's Bad Fur Day,2001,Rare,Rare | THQ (EU),Action | Adventure | 3D Platformer
52,Cruis'n Exotica,2000,Gratuitous Games,Midway,Racing | Automobile
53,Cruis'n USA,1996,Midway,Nintendo,Racing | Automobile
54,Cruis'n World,1998,Midway,Nintendo,Racing | Automobile
55,CyberTiger,2000,Saffire Corporation,EA Games,Sports | Golf
56,Daikatana,2000,Kemco,Kemco,Action | First-Person Shooter
57,Dark Rift,1997,Kronos Digital,Vic Tokai,Arcade | Fighting
58,Destruction Derby 64,1999,Looking Glass Studios,THQ,Racing | Battle
59,Diddy Kong Racing,1997,Rare,Rare,Racing | Adventure | Battle
60,Donald Duck: Goin' Quackers,2000,Ubi Soft Casablanca,Ubi Soft,Adventure | 3D Platformer
61,Disney's Tarzan,2000,Eurocom,Activision,Adventure | 3D Platformer
62,Donkey Kong 64,1999,Rare,Nintendo,Action | Adventure | 3D Platformer
63,Doom 64,1997,Midway,Midway,Action | First-Person Shooter
64,Dr. Mario 64,2001,Nintendo,Nintendo,Arcade | Action | Puzzle
65,Dual Heroes,1998,Produce!,Hudson Soft | Electro Brain (NA),Arcade | Fighting
66,Duck Dodgers Starring Daffy Duck,2000,Paradigm Entertainment,Infogrames,Adventure | 3D Platformer
67,Duke Nukem 64,1997,Eurocom,GT Interactive Software,Action | First-Person Shooter
68,Duke Nukem: Zero Hour,1999,Eurocom,GT Interactive Software,Action | Adventure | 3D Shooter
69,Earthworm Jim 3D,1999,VIS Entertainment,Rockstar Games (NA) | Interplay Entertainment (EU),Action | Adventure | 3D Platformer
70,ECW Hardcore Revolution,2000,Acclaim Studios Salt Lake City,Acclaim Entertainment,Sports | Wrestling
71,Elmo's Letter Adventure,1999,Realtime Associates,NewKidCo,Learning | Mini games
72,Elmo's Number Journey,1999,Realtime Associates,NewKidCo,Learning | Mini games
73,Excitebike 64,2000,Left Field Productions,Nintendo,Racing | Simulation | Motorcycle
74,Extreme-G,1997,Probe Entertainment,Acclaim Entertainment,Racing | Battle
75,Extreme-G 2,1998,Probe Entertainment,Acclaim Entertainment,Racing | Battle
76,F-1 World Grand Prix,1998,Paradigm Entertainment,Nintendo,Racing | Grand Prix
78,F-Zero X,1998,Nintendo,Nintendo,Racing | Battle
79,F1 Pole Position 64,1997,Human Entertainment,Ubi Soft,Racing | Grand Prix
80,F1 Racing Championship,2000,Ubi Soft,Ubi Soft,Racing | Grand Prix
81,FIFA '99,1998,EA Canada,EA Sports,Sports | Soccer
82,FIFA: Road to World Cup 98,1997,EA Canada,EA Sports,Sports | Soccer
83,FIFA Soccer 64,1997,EA Canada,EA Sports,Sports | Soccer
84,Fighters Destiny,1998,Imagineer,Ocean Software | Infogrames Multimedia,Arcade | Fighting
85,Fighter Destiny 2,2000,Imagineer,SouthPeak Games,Arcade | Fighting
86,Fighting Force 64,1999,Core Design,Crave Entertainment,Action | Adventure | Fighting
87,Flying Dragon,1998,Culture Brain,Natsume,Arcade | Fighting
88,Forsaken 64,1998,Iguana UK,Acclaim Entertainment,Action | Adventure | 3D Shooter
89,Fox Sports College Hoops '99,1998,Z-Axis,Fox Sports Interactive,Sports | Basketball
90,G.A.S.P!! Fighters' NEXTream,1998,Konami,Konami,Arcade | Fighting
91,Gauntlet Legends,1998,Midway,Midway,Action | Adventure | Hack and Slash
92,Gex 3: Deep Cover Gecko,1999,Gratuitous Games,Crave Entertainment,Adventure | 3D Platformer
93,Gex 64: Enter the Gecko,1998,Realtime Associates,Midway Games,Adventure | 3D Platformer
94,Glover,1998,Interactive Studios,Hasbro Interactive | Nintendo (EU),Adventure | 3D Platformer
95,Goemon's Great Adventure,1998,Konami,Konami,Adventure | 2D Platformer
96,Golden Nugget 64,1998,Westwood Studios,Electronic Arts,Gambling | Casino
97,GoldenEye 007,1997,Rare,Nintendo,Action | First-Person Shooter
98,GT 64: Championship Edition,1998,Imagineer,Ocean Software | Infogrames Multimedia | Imagineer,Racing | Automobile
