"COMMAND","TEXT","AUTHOR","CREATED",
"banana","🍌","spock",2020-12-23 15:05:01.048922000,
"nobodyswatching","I violated the constraint","sp0ck1",2021-01-30 00:41:23.303135000,
"kumameme","I'm saying it is straight up not possible. You could tone it down just a bit by using light arrows to stun him and it still being very hard. As it is, Ganon is stronger than Ganondorf. There is simply not enough power in the Goron sword to keep up with the MASTER SWORD. 100% fact, not just me complaining, promise.","hydromedia",2021-02-06 02:16:05.231962000,
"sp0cktober","ITS SP0CKTOBER 👾🎃 U KNO WHAT THAT MEANS? 👀🦆 DUCKDODGERS AWARENES MONTH 😯🦆 SEND THIS TO 12 OF UR CLOSET GAMERS 👭🎮 THAT LOV THAT DUCK 🦆💦 TRUCKOWEEN 🎃 IS UPON US!FORWARD THIS TO SEVEN OF THE GIRTHIEST 🥖GOLFERS 🏌️♂️ THAT YOU KNO WILL GET SOME 👉⛳️ SOON! IF U DONT, BE PREPARE 👴 FO 🇳 🇸 🇮 🇽 🇹 🇾 🇫 🇴 🇺 🇷 DAYS OF BAD MANIA ⚠️","sp0ck1",2021-02-06 07:10:41.630518000,
"!link","I'm Link (he/him) A Hylian hero with a sleep schedule that doesn't exist. I'm in a lot of video games and I'm a big sports fan (mainly horseback riding and archery). I'm mostly known around here for saving the kingdom of Hyrule and having a fairy named Navi but I have mostly stopped doing that over the last year.","giga_7k",2021-02-10 01:01:14.722736000,
"!link2","I'm Link (he/him) A Hylian hero with a sleep schedule that doesn't exist. I'm in a lot of video games and I'm a big sports fan (mainly horseback riding and archery). I'm mostly known around here for saving the kingdom of Hyrule and having a fairy named Navi but I have mostly stopped doing that over the last year.","giga_7k",2021-02-10 22:01:02.514355000,
"hltb pokémon","You could probably beat Pokémon Puzzle League in 12 minutes, sg4e. I know you're a gamer!","sg4e",2021-03-02 10:46:24.796281000,
"nynorsk","Why have one langauge when you can have two languages that are mostly the same?","daro16",2021-03-04 21:04:39.056104000,
"survey","Take this quick 10 question survey to let me know what you think about this stream for my one year anniversary! https://forms.gle/D9vrgz8HfGBuGoyz5","spock",2021-03-18 22:14:42.953549000,
"vandal","As a person, Estelle is a rather naive and straightforward girl who is always energetic and positive. She is very proactive, somewhat of boyish in appearance and attitude, and has a ""hit first and ask later"" attitude.","vandal00",2021-05-02 05:35:32.545429000,
"longago","This is the story of a time long ago – a time of myth and legend. When the ancient gods were petty and cruel, and they plagued mankind with suffering, only one man dared to challenge their power – Hercules. Hercules possessed a strength the world had never seen – a strength surpassed only by the power of his heart. He journeyed the Earth – battling the minions of his wicked stepmother, Hera, the all-powerful queen of the gods. But wherever there was evil, wherever an innocent would suffer, there would be Hercules.","spock",2021-08-17 00:38:25.823829000,
"thanksfor","Tak for dit follow, %s! Håber du nyder din tid her! 😄","spock",2021-11-04 21:53:09.219273000,
"tober","sp0ck1.com/sp0cktober","sp0ck1",2022-10-12 21:35:27.991921000,
"love","next: !that","sp0ck1",2022-10-12 21:35:41.624590000,
"next:","!that","sp0ck1",2022-10-12 21:36:01.913165000,
"that","Duck!","sp0ck1",2022-10-12 21:36:20.877064000,
"duck","Love that duck!","sp0ck1",2022-10-12 21:36:40.542623000,
"bumble","This Wednesday: Buck Bumble Missions 1-10! Join in!","sp0ck1",2022-10-17 23:37:58.535756000,
"jackbox","Jackbox Party Pack 9 comes out THIS Thursday! We'll try out all the games at least once on that day, then revisit on Saturday for an evening of boxing and jacking!","sp0ck1",2022-10-17 23:38:58.047061000,
"sealw","sealW","thecivilyoshi",2023-03-11 03:40:44.128813000,
